office,patience,plan_type,step,design_fail_per_day,told_per_day
R4_S8_A0.6,exp30,lean,1,23.1,1.56
R4_S8_A0.6,exp30,lean,2,23.367,4.535
R4_S8_A0.6,exp30,lean,3,23.168,3.703
R4_S8_A0.6,exp30,safe,1,16.332,0.278
R4_S8_A0.6,exp30,safe,2,16.475,1.562
R4_S8_A0.6,exp30,safe,3,16.433,1.335
R4_S8_A0.6,logn30,lean,1,15.018,6.645
R4_S8_A0.6,logn30,lean,2,15.52,12.275
R4_S8_A0.6,logn30,lean,3,14.745,9.953
R4_S8_A0.6,logn30,safe,1,7.768,2.395
R4_S8_A0.6,logn30,safe,2,8.245,5.82
R4_S8_A0.6,logn30,safe,3,7.918,4.49
R4_S8_A0.6,logn30cv15,lean,1,21.565,1.028
R4_S8_A0.6,logn30cv15,lean,2,21.587,3.255
R4_S8_A0.6,logn30cv15,lean,3,21.6,2.87
R4_S8_A0.6,logn30cv15,safe,1,14.69,0.155
R4_S8_A0.6,logn30cv15,safe,2,14.803,0.88
R4_S8_A0.6,logn30cv15,safe,3,14.81,0.748
R16_S16_A0.6,exp30,lean,1,58.653,10.943
R16_S16_A0.6,exp30,lean,2,59.82,22.867
R16_S16_A0.6,exp30,lean,3,59.163,18.598
R16_S16_A0.6,exp30,safe,1,35.197,2.425
R16_S16_A0.6,exp30,safe,2,37.105,10.07
R16_S16_A0.6,exp30,safe,3,35.72,5.41
R16_S16_A0.6,logn30,lean,1,20.475,12.04
R16_S16_A0.6,logn30,lean,2,22.605,20.85
R16_S16_A0.6,logn30,lean,3,20.008,16.3
R16_S16_A0.6,logn30,safe,1,13.182,7.878
R16_S16_A0.6,logn30,safe,2,20.43,19.01
R16_S16_A0.6,logn30,safe,3,13.793,11.207
R16_S16_A0.6,logn30cv15,lean,1,60.517,11.115
R16_S16_A0.6,logn30cv15,lean,2,60.92,22.6
R16_S16_A0.6,logn30cv15,lean,3,60.65,18.36
R16_S16_A0.6,logn30cv15,safe,1,35.172,2.362
R16_S16_A0.6,logn30cv15,safe,2,36.163,7.777
R16_S16_A0.6,logn30cv15,safe,3,35.553,4.848
